"prompt","query"
"Provide me 10 genes linked by data type direct/indirect to diseases.","MATCH (g:Gene)-[r:AssociationByDataTypeDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"List the top 10 gene-disease associations by data type direct/indirect.","MATCH (g:Gene)-[r:AssociationByDataTypeDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Give me the top 10 gene-disease pairs by data type direct/indirect.","MATCH (g:Gene)-[r:AssociationByDataTypeDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Retrieve a list of 10 genes associated by data type direct/indirect with diseases.","MATCH (g:Gene)-[r:AssociationByDataTypeDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Query for 10 genes linked by data type direct/indirect with diseases.","MATCH (g:Gene)-[r:AssociationByDataTypeDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Fetch 10 genes and their corresponding disease data by data type direct/indirect.","MATCH (g:Gene)-[r:AssociationByDataTypeDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Display 10 associations between genes and diseases by data type direct/indirect.","MATCH (g:Gene)-[r:AssociationByDataTypeDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Get me 10 gene-disease associations by data type direct/indirect.","MATCH (g:Gene)-[r:AssociationByDataTypeDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Provide a list of 10 genes with disease connections by data type direct/indirect.","MATCH (g:Gene)-[r:AssociationByDataTypeDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Find 10 genes connected by data type direct/indirect to diseases.","MATCH (g:Gene)-[r:AssociationByDataTypeDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Retrieve 10 gene associations with diseases by data type direct/indirect.","MATCH (g:Gene)-[r:AssociationByDataTypeDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Find 10 genes associated overall with diseases.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Return 10 genes linked overall to diseases.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Give me 10 genes and their associated diseases overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"I want 10 genes connected overall to diseases.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Can you please give me 10 genes and their associated diseases overall?","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Show me 10 genes and their disease associations overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Fetch 10 gene-disease associations overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"List 10 genes associated overall with diseases.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Display 10 gene-disease association pairs overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Provide 10 genes linked overall to diseases.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Retrieve 10 gene-disease relationships overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Fetch 10 gene associations to diseases overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Find 10 genes with disease associations overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Return 10 genes with related diseases overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Get 10 genes and their corresponding diseases overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Show 10 genes with disease connections overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Provide me 10 genes linked overall to diseases.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"List the top 10 gene-disease associations overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Give me the top 10 gene-disease pairs overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Retrieve a list of 10 genes associated overall with diseases.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Query for 10 genes linked overall with diseases.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Fetch 10 genes and their corresponding disease data overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Display 10 associations between genes and diseases overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Get me 10 gene-disease associations overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Provide a list of 10 genes with disease connections overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Find 10 genes connected overall to diseases.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Retrieve 10 gene associations with diseases overall.","MATCH (g:Gene)-[r:AssociationByOverall]-(d:Disease) RETURN g, d, r LIMIT 10"
"Find 10 genes associated overall direct/indirect with diseases.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Return 10 genes linked overall direct/indirect to diseases.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Give me 10 genes and their associated diseases overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"I want 10 genes connected overall direct/indirect to diseases.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Can you please give me 10 genes and their associated diseases overall direct/indirect?","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Show me 10 genes and their disease associations overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Fetch 10 gene-disease associations overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"List 10 genes associated overall direct/indirect with diseases.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Display 10 gene-disease association pairs overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Provide 10 genes linked overall direct/indirect to diseases.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Retrieve 10 gene-disease relationships overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Fetch 10 gene associations to diseases overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Find 10 genes with disease associations overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Return 10 genes with related diseases overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Get 10 genes and their corresponding diseases overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Show 10 genes with disease connections overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Provide me 10 genes linked overall direct/indirect to diseases.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"List the top 10 gene-disease associations overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Give me the top 10 gene-disease pairs overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Retrieve a list of 10 genes associated overall direct/indirect with diseases.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Query for 10 genes linked overall direct/indirect with diseases.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Fetch 10 genes and their corresponding disease data overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Display 10 associations between genes and diseases overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Get me 10 gene-disease associations overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Provide a list of 10 genes with disease connections overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Find 10 genes connected overall direct/indirect to diseases.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Retrieve 10 gene associations with diseases overall direct/indirect.","MATCH (g:Gene)-[r:AssociationByOverallDirectIndirect]-(d:Disease) RETURN g, d, r LIMIT 10"
"Find 10 genes associated by data source with diseases and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Return 10 genes linked by data source to diseases with a score greater than 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Give me 10 genes and their associated diseases from data source with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"I want 10 genes connected by data source to diseases with a score above 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Can you please give me 10 genes and their associated diseases with a score greater than 0.5 from data source?","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Show me 10 genes and their disease associations by data source with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Fetch 10 gene-disease associations by data source with a score greater than 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"List 10 genes associated by data source with diseases and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Display 10 gene-disease association pairs by data source with a score above 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Provide 10 genes linked by data source to diseases with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Retrieve 10 gene-disease relationships from data source with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Fetch 10 gene associations to diseases from data source with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Find 10 genes with disease associations from data source and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Return 10 genes with related diseases by data source and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Get 10 genes and their corresponding diseases from data source with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Show 10 genes with disease connections from data source and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Provide me 10 genes linked by data source to diseases with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"List the top 10 gene-disease associations from data source with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Give me the top 10 gene-disease pairs by data source with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Retrieve a list of 10 genes associated by data source with diseases and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Query for 10 genes linked by data source to diseases with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Fetch 10 genes and their corresponding disease data by data source with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Display 10 associations between genes and diseases by data source with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Get me 10 gene-disease associations from data source with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Provide a list of 10 genes with disease connections from data source with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Find 10 genes connected by data source to diseases with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Retrieve 10 gene associations with diseases from data source and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSource]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Find 10 genes associated by data source direct/indirect with diseases and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Return 10 genes linked by data source direct/indirect to diseases with a score greater than 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Give me 10 genes and their associated diseases from data source direct/indirect with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"I want 10 genes connected by data source direct/indirect to diseases with a score above 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Can you please give me 10 genes and their associated diseases with a score greater than 0.5 from data source direct/indirect?","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Show me 10 genes and their disease associations by data source direct/indirect with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Fetch 10 gene-disease associations by data source direct/indirect with a score greater than 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"List 10 genes associated by data source direct/indirect with diseases and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Display 10 gene-disease association pairs by data source direct/indirect with a score above 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Provide 10 genes linked by data source direct/indirect to diseases with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Retrieve 10 gene-disease relationships from data source direct/indirect with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Fetch 10 gene associations to diseases from data source direct/indirect with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Find 10 genes with disease associations from data source direct/indirect and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Return 10 genes with related diseases by data source direct/indirect and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Get 10 genes and their corresponding diseases from data source direct/indirect with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Show 10 genes with disease connections from data source direct/indirect and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Provide me 10 genes linked by data source direct/indirect to diseases with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"List the top 10 gene-disease associations from data source direct/indirect with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Give me the top 10 gene-disease pairs by data source direct/indirect with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Retrieve a list of 10 genes associated by data source direct/indirect with diseases and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Query for 10 genes linked by data source direct/indirect to diseases with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Fetch 10 genes and their corresponding disease data by data source direct/indirect with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Display 10 associations between genes and diseases by data source direct/indirect with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Get me 10 gene-disease associations from data source direct/indirect with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Provide a list of 10 genes with disease connections from data source direct/indirect with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Find 10 genes connected by data source direct/indirect to diseases with score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
"Retrieve 10 gene associations with diseases from data source direct/indirect and score > 0.5.","MATCH (g:Gene)-[r:AssociationByDataSourceDirectIndirect]-(d:Disease) WHERE r.score > 0.5 RETURN g, d, r LIMIT 10"
